"Edad","Total","Hombres","Mujeres","diferencia_grupo_absoluto","diferencia_grupo_absoluto_mujeres","dif_grupo_2","razon_masculinidad","razon_feminidad","grupo_sexo","edades"
"67 años",499305,237836,261469,-23633,23633,23633,90.9614524092722,109.936679056156,"mujeres",67
"68 años",493115,234665,258450,-23785,23785,23785,90.7970593925324,110.135725395777,"mujeres",68
"69 años",459052,216572,242480,-25908,25908,25908,89.3154074562851,111.962765269749,"mujeres",69
"70 años",443863,208146,235717,-27571,27571,27571,88.3033468099458,113.245990794923,"mujeres",70
"71 años",456527,212031,244496,-32465,32465,32465,86.7216641581048,115.311440308257,"mujeres",71
"72 años",471768,217917,253851,-35934,35934,35934,85.8444520604607,116.489764451603,"mujeres",72
"73 años",426059,195470,230589,-35119,35119,35119,84.7698719366492,117.966439862895,"mujeres",73
"74 años",401776,182249,219527,-37278,37278,37278,83.0189452778018,120.454433220484,"mujeres",74
"75 años",412897,185685,227212,-41527,41527,41527,81.7232364487791,122.364218972992,"mujeres",75
"76 años",385647,172241,213406,-41165,41165,41165,80.7104767438591,123.899652231466,"mujeres",76
"77 años",372681,164742,207939,-43197,43197,43197,79.2261191984188,126.221000109262,"mujeres",77
"78 años",313751,137658,176093,-38435,38435,38435,78.1734651576156,127.920643914629,"mujeres",78
"79 años",282170,122184,159986,-37802,37802,37802,76.3716825222207,130.93858443004,"mujeres",79
"80 años",335935,142522,193413,-50891,50891,50891,73.6879113606634,135.707469723972,"mujeres",80
"81 años",214227,87950,126277,-38327,38327,38327,69.6484712180365,143.57816941444,"mujeres",81
"82 años",234046,95015,139031,-44016,44016,44016,68.3408736181139,146.325317055202,"mujeres",82
"83 años",250823,99963,150860,-50897,50897,50897,66.2620973087631,150.915838860378,"mujeres",83
"84 años",259222,99973,159249,-59276,59276,59276,62.7777882435682,159.292008842387,"mujeres",84
"85 años",236367,90172,146195,-56023,56023,56023,61.6792639967167,162.129042274764,"mujeres",85
"86 años",217757,80832,136925,-56093,56093,56093,59.0337776154829,169.394546714173,"mujeres",86
"87 años",202864,73337,129527,-56190,56190,56190,56.6190832799339,176.618896327911,"mujeres",87
"88 años",181838,63957,117881,-53924,53924,53924,54.2555628133457,184.312897728161,"mujeres",88
"89 años",152273,52278,99995,-47717,47717,47717,52.2806140307015,191.27548873331,"mujeres",89
"90 años",132669,43017,89652,-46635,46635,46635,47.9821978316156,208.410628356231,"mujeres",90
"91 años",106936,33541,73395,-39854,39854,39854,45.6992983173241,218.821740556334,"mujeres",91
"92 años",87647,26407,61240,-34833,34833,34833,43.120509470934,231.908206157458,"mujeres",92
"93 años",66585,19112,47473,-28361,28361,28361,40.258673351168,248.393679363751,"mujeres",93
"94 años",52909,14443,38466,-24023,24023,24023,37.5474444964384,266.329709894066,"mujeres",94
"95 años",39000,10076,28924,-18848,18848,18848,34.8361222514175,287.058356490671,"mujeres",95
"96 años",29095,7251,21844,-14593,14593,14593,33.1944698773118,301.25499931044,"mujeres",96
"97 años",20612,5001,15611,-10610,10610,10610,32.0351034526936,312.157568486303,"mujeres",97
"98 años",14568,3229,11339,-8110,8110,8110,28.4769380015874,351.161350263239,"mujeres",98
"99 años",9424,2075,7349,-5274,5274,5274,28.2351340318411,354.168674698795,"mujeres",99
"100 y más años",18020,3984,14036,-10052,10052,10052,28.3841550299231,352.309236947791,"mujeres",100
