"Periodo","edades","Total","Hombres","Mujeres","porc_total","porc_hombres","porc_mujeres"
1914,"23",377014.8,167487.04,209527.76,1.83033689832424,0.813118501722234,1.01721839660201
1914,"24",270933.04,132484.03,138449.01,1.3153296371579,0.643185383034553,0.672144254123344
1914,"25",334194.47,162269.34,171925.13,1.6224521415523,0.787787536374491,0.834664605177812
1914,"26",305009.05,152540.43,152468.62,1.48076234285185,0.740555483538699,0.740206859313155
1914,"27",307526.92,143609.61,163917.31,1.4929861345072,0.69719800956608,0.795788124941124
1914,"28",310267.18,146443.1,163824.08,1.50628958834775,0.710954077757654,0.795335510590094
1914,"29",295641.66,140185.69,155455.97,1.43528540253547,0.6805755132797,0.754709889255769
1914,"30",258760.03,126548.26,132211.77,1.25623193232862,0.614368321075802,0.641863611252815
1914,"31",301830.38,142405.13,159425.25,1.46533048980896,0.691350482659196,0.773980007149763
1914,"32",230944.41,112627.67,118316.74,1.12119225845967,0.546786439612678,0.574405818846993
1914,"33",411020.4,188672.06,222348.34,1.99542777653288,0.915967842909204,1.07945993362368
1914,"34",193506.87,95784.01,97722.86,0.939439948352775,0.465013595679687,0.474426352673088
1914,"35",268125.28,129045.49,139079.79,1.30169848334208,0.626491909360937,0.675206573981145
1914,"36",232107.1,114193.71,117913.39,1.12683690267075,0.554389273231549,0.572447629439206
1914,"37",251284.93,118580.49,132704.44,1.21994170884491,0.575686276157776,0.644255432687139
1914,"38",261494.81,125730.55,135764.26,1.26950878178598,0.61039849075315,0.659110291032834
1914,"39",253750.92,118746.13,135004.79,1.23191363272668,0.576490427623019,0.65542320510366
1914,"40",204754.61,99113.64,105640.97,0.994045639017326,0.481178331511721,0.512867307505605
1914,"41",251633.44,119804.23,131829.21,1.22163366022835,0.581627306790937,0.640006353437411
1914,"42",184683.65,91344.28,93339.37,0.896604852414811,0.443459530328414,0.453145322086397
1914,"43",394140.19,185051.65,209088.54,1.9134774891318,0.898391424131845,1.01508606499995
1914,"44",150449.24,75012.09,75437.15,0.730403144112218,0.364169778341377,0.366233365770841
1914,"45",215385.71,105115.51,110270.2,1.04565765690038,0.510316296705515,0.535341360194861
1914,"46",169383.54,83274.62,86108.92,0.822325657323744,0.404282828366233,0.418042828957511
1914,"47",207299.81,99635.97,107663.84,1.00640211275155,0.483714146742587,0.522687966008966
1914,"48",232072.38,115151.27,116921.11,1.1266683435131,0.559038049354819,0.567630294158286
1914,"49",202388.3,96386.34,106001.96,0.982557643039784,0.467937796066429,0.514619846973355
1914,"50",159715.46,78149.54,81565.92,0.775388922850851,0.379401515932706,0.395987406918145
1914,"51",209317.57,99772.97,109544.6,1.01619796315308,0.484379256322026,0.531818706831057
1914,"52",153244.68,76795.24,76449.44,0.743974486614028,0.372826640725153,0.371147845888875
1914,"53",355647.58,162286.04,193361.54,1.72660300994476,0.78786861177578,0.93873439816898
1914,"54",126238.9,63872.54,62366.36,0.612866435678026,0.310089330052006,0.30277710562602
1914,"55",169743.77,82403.79,87339.98,0.824074507132513,0.400055110300078,0.424019396832435
1914,"56",130273.25,64360.24,65913.01,0.632452456348181,0.312457023058521,0.31999543328966
1914,"57",159484.31,73753.13,85731.18,0.774266732491089,0.358057761143341,0.416208971347748
1914,"58",165649.17,79885.59,85763.58,0.804195983891838,0.38782971655596,0.416366267335879
1914,"59",160253.62,74961.39,85292.23,0.778001589794436,0.36392363924884,0.414077950545596
1914,"60",115948.13,55559.79,60388.34,0.562906656796221,0.269732471245548,0.293174185550672
1914,"61",145872.81,67831.98,78040.83,0.70818542562584,0.329311676571826,0.378873749054014
1914,"62",101502.47,49953.9,51548.57,0.492775657910642,0.242516915477056,0.250258742433586
1914,"63",271259.76,117440.11,153819.65,1.3169158021345,0.570149942857038,0.746765859277461
1914,"64",86548.33,43077.67,43470.66,0.42017608297431,0.209134094722104,0.211041988252205
1914,"65",112702.15,54238.92,58463.23,0.5471480261928,0.263319892485007,0.283828133707792
1914,"66",87185.59,42732.76,44452.83,0.423269862029737,0.207459620670685,0.215810241359052
1914,"67",103209.92,48451.71,54758.21,0.50106501084067,0.23522406176072,0.26584094907995
1914,"68",106634.42,49694.18,56940.24,0.51769032291943,0.241256023068501,0.276434299850928
1914,"69",92580.82,44548.34,48032.48,0.449462702586516,0.216273924687025,0.233188777899491
1914,"70",69128.4,34020.34,35108.06,0.335605555119102,0.16516243817361,0.170443116945492
1914,"71",78440.11,36451,41989.11,0.380812179366996,0.17696284146091,0.203849337906086
1914,"72",47879.72,23439.79,24439.93,0.232447156444344,0.113795831160929,0.118651325283415
1914,"73",126872.85,55095.07,71777.78,0.615944145297629,0.267476341875059,0.34846780342257
1914,"74",34037.13,16804.9,17232.23,0.1652439505082,0.0815846713249692,0.0836592791832308
1914,"75",42340.25,19881.61,22458.64,0.205554057451519,0.0965215274866986,0.10903252996482
1914,"76",28513.06,13815.39,14697.67,0.138425615657881,0.0670711549831458,0.0713544606747354
1914,"77",32964.12,15507.41,17456.71,0.160034686056855,0.0752855981262335,0.0847490879306216
1914,"78",33579.27,15254,18325.27,0.163021125164827,0.0740553395968486,0.0889657855679783
1914,"79",26997.32,11853.39,15143.93,0.131066979205768,0.0575460090352622,0.0735209701705063
1914,"80",32544.56,13302.98,19241.58,0.157997800106858,0.0645834995116091,0.0934143005952491
1914,"81",26431.2,10844.3,15586.9,0.128318571650205,0.052647064323463,0.0756715073267418
1914,"82",22918.59,9216.05,13702.54,0.111265501870391,0.0447422126977538,0.0665232891726368
1914,"83",20660.79,8090.25,12570.54,0.100304301808652,0.0392766625916746,0.0610276392169771
1914,"84",17539.92,6827.03,10712.89,0.0851530570408782,0.0331439638840877,0.0520090931567906
