"Edad","Ambos sexos","Hombres","Mujeres","porc_total_grupo","porc_total_hombres","porc_total_mujeres","Españoles.Extranjeros"
"97 años",20395,4932,15463,0.0486232445715348,0.01175826635091,0.0368649782206248,"Españoles"
"98 años",14409,3180,11229,0.0343521613646112,0.00758136394888358,0.0267707974157276,"Españoles"
"99 años",9322,2051,7271,0.0222243631231109,0.00488974133935856,0.0173346217837524,"Españoles"
"100 años y más",17850,3933,13917,0.0425557693357145,0.00937657371413809,0.0331791956215764,"Españoles"
"0 años",51165,26320,24845,0.940507500898873,0.483810366923841,0.456697133975032,"Extranjeros"
"1 año",55425,28481,26944,1.0188141940256,0.523533550925453,0.495280643100151,"Extranjeros"
"2 años",52218,26651,25567,0.959863591946396,0.489894760216082,0.469968831730313,"Extranjeros"
"3 años",54185,27809,26376,0.996020696495757,0.511180945812504,0.484839750683254,"Extranjeros"
"4 años",56817,29184,27633,1.04440173318814,0.536455993476648,0.507945739711493,"Extranjeros"
"5 años",56641,28998,27643,1.04116652708713,0.533036968847171,0.50812955823996,"Extranjeros"
"6 años",55999,29003,26996,1.02936537755958,0.533128878111404,0.496236499448177,"Extranjeros"
"7 años",52831,27151,25680,0.971131667741392,0.499085686639408,0.472045981101985,"Extranjeros"
"8 años",52284,26816,25468,0.961076794234275,0.49292776593578,0.468149028298495,"Extranjeros"
"9 años",50649,26080,24569,0.931022464830001,0.479398722240645,0.451623742589356,"Extranjeros"
"10 años",50834,26150,24684,0.934423107606631,0.48068545193991,0.453737655666721,"Extranjeros"
"11 años",49914,25765,24149,0.917511802987713,0.47360843859395,0.443903364393763,"Extranjeros"
"12 años",48555,24995,23560,0.892530864969115,0.459454411902029,0.433076453067086,"Extranjeros"
"13 años",44026,22722,21304,0.809279453426635,0.417672460381593,0.391606993045042,"Extranjeros"
"14 años",42977,22166,20811,0.789996889790498,0.407452150198855,0.382544739591643,"Extranjeros"
"15 años",42499,22084,20415,0.781210364129799,0.40594483826543,0.37526552586437,"Extranjeros"
"16 años",44150,23315,20835,0.811558803179619,0.428572899119656,0.382985904059963,"Extranjeros"
"17 años",45814,24902,20912,0.842146206316446,0.457744899587291,0.384401306729155,"Extranjeros"
"18 años",50084,28040,22044,0.920636717971643,0.51542715382008,0.405209564151564,"Extranjeros"
"19 años",57034,31594,25440,1.04839059525586,0.580756258837076,0.467634336418789,"Extranjeros"
"20 años",63373,33836,29537,1.16491316045078,0.621968372919266,0.542944787531516,"Extranjeros"
"21 años",68533,35425,33108,1.2597635211395,0.651177137092594,0.608586384046905,"Extranjeros"
"22 años",73791,37560,36231,1.35641530340719,0.690422392920193,0.665992910486994,"Extranjeros"
"23 años",81097,40483,40614,1.49071312030482,0.744152548790952,0.746560571513863,"Extranjeros"
"24 años",86433,42643,43790,1.58879868709454,0.783857350939717,0.804941336154825,"Extranjeros"
"25 años",93599,45896,47703,1.72052304459364,0.843653518249871,0.876869526343769,"Extranjeros"
"26 años",99902,48837,51065,1.83638386308608,0.89771454747187,0.938669315614208,"Extranjeros"
"27 años",104568,50829,53739,1.92215358846855,0.934331198342398,0.987822390126151,"Extranjeros"
"28 años",109190,53053,56137,2.00711451232577,0.975212439073349,1.03190207325242,"Extranjeros"
"29 años",110979,53732,57247,2.03999964706843,0.987693717156224,1.0523059299122,"Extranjeros"
"30 años",116720,56008,60712,2.14552986426105,1.0295308142352,1.11599905002584,"Extranjeros"
"31 años",119365,56790,62575,2.19414986504044,1.04390542316128,1.15024444187915,"Extranjeros"
"32 años",122619,58221,64398,2.25396441420344,1.07020985458484,1.1837545596186,"Extranjeros"
"33 años",123380,58697,64683,2.26795300421974,1.07895961653984,1.18899338767989,"Extranjeros"
"34 años",123669,58474,65195,2.27326535969242,1.07486046335504,1.19840489633738,"Extranjeros"
"35 años",124365,59263,65102,2.28605912927369,1.08936374525105,1.19669538402264,"Extranjeros"
"36 años",125843,60579,65264,2.31322750778104,1.11355426359724,1.1996732441838,"Extranjeros"
"37 años",125232,60978,64254,2.30199619569173,1.12088862288305,1.18110757280868,"Extranjeros"
"38 años",128294,63580,64714,2.35828142910818,1.16871820399004,1.18956322511814,"Extranjeros"
"39 años",127199,63705,63494,2.3381533002411,1.17101593559587,1.16713736464523,"Extranjeros"
"40 años",128920,66120,62800,2.36978846899018,1.21540811022053,1.15438035876965,"Extranjeros"
"41 años",124135,63643,60492,2.28183130311896,1.16987626071938,1.11195504239958,"Extranjeros"
"42 años",121340,62938,58402,2.23045402441257,1.15691705446249,1.07353696995008,"Extranjeros"
"43 años",116842,61513,55329,2.14777245030834,1.13072291415601,1.01704953615233,"Extranjeros"
"44 años",111582,58847,52735,2.05108390433496,1.08171689446684,0.969367009868114,"Extranjeros"
"45 años",106148,56130,50018,1.95119691596626,1.03177340028249,0.919423515683765,"Extranjeros"
"46 años",101639,53658,47981,1.86831314148071,0.986333460045572,0.881979681435137,"Extranjeros"
"47 años",93547,49521,44026,1.71956718824561,0.910287734818979,0.809279453426635,"Extranjeros"
"48 años",90642,47740,42902,1.66616790572609,0.877549654899095,0.788618250827,"Extranjeros"
"49 años",84821,44143,40678,1.55916714030574,0.811430130209693,0.747737010096049,"Extranjeros"
"50 años",83599,43744,39855,1.53670451612713,0.804095770923879,0.732608745203255,"Extranjeros"
"51 años",78253,40424,37829,1.43843513080894,0.743068019473,0.695367111335942,"Extranjeros"
"52 años",76051,38823,37228,1.39795829084062,0.713638673065512,0.684319617775105,"Extranjeros"
"53 años",70246,35422,34824,1.29125163506581,0.651121991534054,0.640129643531757,"Extranjeros"
"54 años",62363,31623,30740,1.14634748907566,0.581289332569629,0.565058156506036,"Extranjeros"
"55 años",59042,29544,29498,1.08530135577194,0.543073460501442,0.542227895270496,"Extranjeros"
"56 años",57339,28436,28903,1.05399706037409,0.522706367547354,0.531290692826739,"Extranjeros"
"57 años",53607,26193,27414,0.985395985550393,0.481475871612316,0.503920113938077,"Extranjeros"
"58 años",50420,24642,25778,0.926813020528118,0.452965617847161,0.473847402680956,"Extranjeros"
"59 años",45586,22000,23586,0.837955143867409,0.404400762626311,0.433554381241099,"Extranjeros"
"60 años",45270,21871,23399,0.832146478367868,0.402029503609093,0.430116974758775,"Extranjeros"
"61 años",41474,19738,21736,0.762368964961983,0.362821011487187,0.399547953474795,"Extranjeros"
"62 años",39341,18692,20649,0.723160472840077,0.343593593409591,0.379566879430486,"Extranjeros"
"63 años",36819,17218,19601,0.676801439960825,0.316498742313628,0.360302697647196,"Extranjeros"
"64 años",34909,16390,18519,0.641692101023722,0.301278568156602,0.340413532867121,"Extranjeros"
"65 años",32646,15156,17490,0.600093968031752,0.278595361743835,0.321498606287917,"Extranjeros"
"66 años",31131,14497,16634,0.572245460969077,0.266481720717892,0.305763740251184,"Extranjeros"
"67 años",29115,13546,15569,0.535187645630229,0.249000578660728,0.286187066969502,"Extranjeros"
"68 años",28013,13056,14957,0.51493084379322,0.239993470765869,0.274937373027351,"Extranjeros"
"69 años",25529,11989,13540,0.469270321322141,0.220380033778493,0.248890287543648,"Extranjeros"
"70 años",24971,11618,13353,0.45901324743371,0.213560366372385,0.245452881061324,"Extranjeros"
"71 años",22803,10541,12262,0.419161390462171,0.193763110856543,0.225398279605628,"Extranjeros"
"72 años",21808,10283,11525,0.400871446879754,0.189020592822107,0.211850854057647,"Extranjeros"
"73 años",21070,9925,11145,0.387305639478926,0.182439889503006,0.20486574997592,"Extranjeros"
"74 años",19011,8953,10058,0.349457404467673,0.164572728536062,0.184884675931611,"Extranjeros"
"75 años",15665,7417,8248,0.28795172484278,0.136338202563607,0.151613522279173,"Extranjeros"
"76 años",15520,7473,8047,0.285286356180016,0.137367586323019,0.147918769856997,"Extranjeros"
"77 años",13740,6650,7090,0.252566658112978,0.122239321430226,0.130327336682752,"Extranjeros"
"78 años",12390,5959,6431,0.22775115677,0.10953746111319,0.118213695656809,"Extranjeros"
"79 años",10715,5152,5563,0.19696155325186,0.0947033058659434,0.102258247385917,"Extranjeros"
"80 años",10154,4782,5372,0.186649333804889,0.0879020203126827,0.0987473134922065,"Extranjeros"
"81 años",8705,4177,4528,0.160014029030093,0.0767809993404591,0.0832330296896334,"Extranjeros"
"82 años",7484,3603,3881,0.137569786704332,0.0662298158064817,0.0713399708978506,"Extranjeros"
"83 años",6220,2934,3286,0.114335124706166,0.0539323562520726,0.0604027684540935,"Extranjeros"
"84 años",5357,2396,2961,0.0984715856995067,0.0440429194205746,0.0544286662789321,"Extranjeros"
"85 años",4308,1998,2310,0.0791890220633703,0.0367269419876077,0.0424620800757626,"Extranjeros"
"86 años",3517,1603,1914,0.0646489764616698,0.0294661101131807,0.0351828663484891,"Extranjeros"
"87 años",2915,1270,1645,0.0535831010479862,0.0233449531152461,0.0302381479327401,"Extranjeros"
"88 años",2471,1053,1418,0.0454215583840734,0.019356091047523,0.0260654673365504,"Extranjeros"
"89 años",1987,846,1141,0.0365247416062945,0.0155510475082663,0.0209736940980282,"Extranjeros"
"90 años",1750,692,1058,0.0321682424816384,0.0127202421698821,0.0194480003117562,"Extranjeros"
"91 años",1327,473,854,0.0243927187275052,0.00869461639646568,0.0156981023310395,"Extranjeros"
"92 años",991,375,616,0.0182164161710306,0.00689319481749394,0.0113232213535367,"Extranjeros"
"93 años",729,281,448,0.0134003707252082,0.00516530064990879,0.00823507007529942,"Extranjeros"
"94 años",567,200,367,0.0104225105640508,0.0036763705693301,0.00674613999472073,"Extranjeros"
"95 años",404,142,262,0.0074262685500468,0.00261022310422437,0.00481604544582243,"Extranjeros"
"96 años",300,91,209,0.00551455585399515,0.0016727486090452,0.00384180724494995,"Extranjeros"
"97 años",217,69,148,0.00398886206772316,0.00126834784641888,0.00272051422130427,"Extranjeros"
